Filename,English Accuracy,Percentage English Predicted,Actual English,Accuracy of the Code
10112_R2.asf,93.33,93.33,100,93.33
10812_R3.asf,50,46.66,93.33,48.33
11121_R2.asf,100,81.66,81.66,86.66
11711_R3.asf,66.03,58.33,88.33,60
20532_R1.asf,94.44,85,90,85
20532_R3.asf,88.67,78.33,88.33,81.66
30131_R1.asf,100,100,100,100
30421_R2.asf,100,93.33,93.33,93.33
40531_R1.asf,94.44,85,90,86.66
40631_R1.asf,51.11,38.33,75,41.66
41232_R2.asf,96.22,85,88.33,91.66
60331_R2.asf,80,66.66,83.33,70
60512_R2.asf,96.42,90,93.33,91.66
70232_R2.asf,96.55,93.33,96.66,93.33
70232_R3.asf,96.42,90,93.33,93.33
80222_R2.asf,85.71,80,93.33,81.66
90132_R1.asf,65.21,50,76.66,53.33
90312_R1.asf,47.05,40,85,41.66
91132_R1.asf,79.48,51.66,65,58.33
91132_R2.asf,93.02,66.66,71.66,70
91132_R3.asf,85.45,62.66,73.33,64